DocumentTitle,DocumentType,CustomerName,OrgName,CreatedDate,DocumentCategoryName,DocumentSubCategoryName,SubDocumentCategoryName
Medicine details,Medicine details,,Akshaya Medicare,3/1/2017 1:36:47 AM,Generic medicins,,
Medicine details,Medicine details,dvvdf,Akshaya Medicare,3/1/2017 1:36:46 AM,Generic medicins,,
Medicine details,Medicine details,Chiru,Akshaya Medicare,3/1/2017 1:36:46 AM,Generic medicins,,
Medicine details,Medicine details,Thrishal,Akshaya Medicare,3/1/2017 1:36:45 AM,Generic medicins,,
Medicine details,Medicine details,Mani,Akshaya Medicare,3/1/2017 1:36:45 AM,Generic medicins,,
Audults fever medicine,Audults fever medicine,dvvdf,Akshaya Medicare,3/1/2017 1:35:51 AM,Generic medicins,Adults Medicine,Fever for adults
Audults fever medicine,Audults fever medicine,Chiru,Akshaya Medicare,3/1/2017 1:35:51 AM,Generic medicins,Adults Medicine,Fever for adults
Audults fever medicine,Audults fever medicine,Mani,Akshaya Medicare,3/1/2017 1:35:50 AM,Generic medicins,Adults Medicine,Fever for adults
Audults fever medicine,Audults fever medicine,Chiru,Akshaya Medicare,3/1/2017 1:35:05 AM,Generic medicins,Adults Medicine,Fever for adults
Kids cold Medicine software,Kids cold Medicine software,Chiru,Akshaya Medicare,3/1/2017 1:33:56 AM,Generic medicins,Kids Medicine,Kids
Kids Fever Medicine,Kids Fever Medicine,Thrishal,Akshaya Medicare,3/1/2017 1:27:17 AM,Generic medicins,Kids Medicine,
Kids cold Medicine software,Kids cold Medicine software,Mani,Akshaya Medicare,3/1/2017 12:40:47 AM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,dvvdf,Akshaya Medicare,2/28/2017 11:31:03 PM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,Thrishal,Akshaya Medicare,2/28/2017 10:54:06 PM,Generic medicins,Kids Medicine,Kids
Kids cold Medicine software,Kids cold Medicine software,Mani,Akshaya Medicare,2/28/2017 2:42:24 AM,Generic medicins,Kids Medicine,Kids
